ID,Tipo,SKU,Nome,Publicado,"Em destaque?","Visibilidade no catálogo","Descrição curta",Descrição,"Data de preço promocional começa em","Data de preço promocional termina em","Status da taxa","Classe de taxa","Em estoque?",Estoque,"Quantidade baixa de estoque","São permitidas encomendas?","Vendido individualmente?","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)","Permitir avaliações de clientes?","Nota da compra","Preço promocional",Preço,Categorias,Tags,"Classe de entrega",Imagens,"Limite de download","Dias para expirar o download","Produto ascendente","Grupo de produtos","Aumentar vendas","Venda cruzada","URL externa","Texto do botão",Posição,"Nome do atributo 1","Valores do atributo 1","Visibilidade do atributo 1","Atributo global 1","Nome do atributo 2","Valores do atributo 2","Visibilidade do atributo 2","Atributo global 2"
67,simple,CORDEL.CNC.BR.0002,"Caneca Branca - Cordel 2",1,0,visible,,"<h6>Caneca Cerâmica</h6>\n\nAltura: 9,5 cm\n\nLargura: 8 cm\n\nProfundidade: 8 cm\n\nCapacidade: 300ml\n\nMaterial: Porcelana\n\nCor: Branca\n\n*Imagem Meramente Ilustrativa",,,taxable,,1,100,,0,0,200,11.5,10,8,1,,,49.30,"CASA E DECORAÇÃO > CANECAS, CASA E DECORAÇÃO",caneca,,http://techup.com.br/icone/wp-content/uploads/2021/09/CanecaBranca-Cordel2png.png,,,,,,,,,0,,,,,,,,
69,simple,CORDEL.PCQK6.MA.0001,"Porta Copo Quadrado - Cordel",1,0,visible,,"<h6>Porta copo em MDF – Kit com 6 unidades\n\n\n\nMaterial Externo: Tecido Polistester\n\nMaterial Interno: PET.\n\nTamanho: 10cm de diâmetro\n\nCor: Estampada\n\n*Imagem Meramente Ilustrativa</h6>",,,taxable,,1,100,,0,0,30,8.5,8.5,3,1,,,36.10,"CASA E DECORAÇÃO, CASA E DECORAÇÃO > PORTA COPO","porta copo",,http://techup.com.br/icone/wp-content/uploads/2021/09/PortaCopo-Cordel2png.png,,,,,,,,,0,,,,,,,,
71,simple,CORDEL.PCQK6.MA.0002,"Porta Copo Quadrado - Cordel 2",1,0,visible,,"<h6>Porta copo em MDF – Kit com 6 unidades</h6>\n\nMaterial Externo: Tecido Polistester\n\nMaterial Interno: PET.\n\nTamanho: 10cm de diâmetro\n\nCor: Estampada\n\n*Imagem Meramente Ilustrativa",,,taxable,,1,100,,0,0,30,8.5,8.5,3,1,,,36.10,"CASA E DECORAÇÃO, CASA E DECORAÇÃO > PORTA COPO","porta copo",,http://techup.com.br/icone/wp-content/uploads/2021/09/PortaCopo-Cordelpng.png,,,,,,,,,0,,,,,,,,
73,simple,CODEL.AZ.BR.0001,"Azulejo com moldura - Cordel",1,0,visible,,"Azulejo de cerâmica estampado.\n\nContém:\n\n- 1 azulejo\n\n- 1 moldura de madeira",,,taxable,,1,100,,0,0,0.3,19.5,19.5,2,1,,,49.10,"CASA E DECORAÇÃO > AZULEJOS DECORATIVOS, CASA E DECORAÇÃO",azulejo,,http://techup.com.br/icone/wp-content/uploads/2021/09/Azulejos-Cordelpng.png,,,,,,,,,0,,,,,,,,
75,simple,CODEL.AZ.BR.0002,"Azulejo com moldura - Cordel 2",1,0,visible,,"Azulejo de cerâmica estampado.\n\nContém:\n\n- 1 azulejo\n\n- 1 moldura de madeira",,,taxable,,1,100,,0,0,0.3,19.5,19.5,2,1,,,49.10,"CASA E DECORAÇÃO > AZULEJOS DECORATIVOS, CASA E DECORAÇÃO",azulejo,,http://techup.com.br/icone/wp-content/uploads/2021/09/Azulejos-Cordel2png.png,,,,,,,,,0,,,,,,,,
77,simple,CORDEL.AV.BR.0001,"Avental - Cordel",1,0,visible,,"<h6>Avental com regulagem na alça do pescoço\n\nDimensões aproximadas:\n\nLargura: 61cm | Altura: 63cm</h6>\n\n<h6>Material: Algodão</h6>\n\n<h6>*Imagem meramente ilustrativa</h6>",,,taxable,,1,,,0,0,0.2,28,16,1,1,,,70.40,"ACESSÓRIOS, ACESSÓRIOS > AVENTAIS",avental,,"http://techup.com.br/icone/wp-content/uploads/2021/09/AventalBranco-Cordelpng.png, http://techup.com.br/icone/wp-content/uploads/2021/09/AventalBranco-Cordelpng2.png",,,,,,,,,0,,,,,,,,
80,simple,CORDEL.QUA2.PR.0003,"Quadro 30x40 moldura preta - Cordel 3",1,0,visible,,"<h6>Quadro em moldura preta com paspatur\n\n\n\nAltura: 40cm\n\nLargura: 30cm\n\nMaterial: Madeira\n\n\n\n*Imagem meramente ilustrativa</h6>",,,taxable,,1,20,,0,0,900,40,30,1,1,,,95.50,"CASA E DECORAÇÃO, CASA E DECORAÇÃO > QUADROS",quadro,,http://techup.com.br/icone/wp-content/uploads/2021/09/QuadroPreto30x40-Cordel3png.png,,,,,,,,,0,,,,,,,,
82,simple,CORDEL.QUA.BR.0003,"Quadro 25x35 Moldura Preta - Cordel 3",1,0,visible,,"<h6>Quadro em moldura preta\n\n\n\nAltura: 25cm\n\nLargura: 35cm\n\nMaterial: Madeira</h6>\n\n<h6>*Imagem meramente ilustrativa</h6>",,,taxable,,1,20,,0,0,450,35,25,1,1,,,73.30,"CASA E DECORAÇÃO, CASA E DECORAÇÃO > QUADROS",quadro,,http://techup.com.br/icone/wp-content/uploads/2021/09/QuadroPreto25x35-Cordel3png.png,,,,,,,,,0,,,,,,,,
84,simple,CORDEL.MPRT.BR.0001,"Mouse pad retangular - Cordel",1,0,visible,,"<h6>Mouse pad com borracha anti-derrapante, e superfície em tecido estampado 100% poliéster.</h6>",,,taxable,,1,50,,0,0,200,21,15,1,1,,,35.90,"PRESENTES > MOUSE PADS, PRESENTES",,,"http://techup.com.br/icone/wp-content/uploads/2021/09/mousepadretangular-Cordelpng.png, http://techup.com.br/icone/wp-content/uploads/2021/09/mousepadretangular-Cordelpng2.png",,,,,,,,,0,,,,,,,,
87,simple,CORDEL.SQ.AL.0001,"Squeeze Alumínio - Cordel",1,0,visible,,"<h6>Squeeze</h6>\n\nAltura: 18 cm\n\nLargura: 7 cm\n\nCapacidade: 600 ml\n\nMaterial: Alumínio\n\nAcompanha: Tampa de plástico\n\n*Imagem Meramente Ilustrativa",,,taxable,,1,100,,0,0,0.3,8,8,22,1,,,49.10,"PRESENTES, PRESENTES > SQUEEZE","garrafa, garrafinha, squeeze",,http://techup.com.br/icone/wp-content/uploads/2021/09/Squeeze-Cordelpng.png,,,,,,,,,0,,,,,,,,
90,simple,CORDEL.CNC.PR.0001,"Caneca Alça Preta - Cordel",1,0,visible,,"<h6>Caneca Cerâmica\n\n\n\nAltura: 9,5 cm\n\nLargura: 8 cm\n\nProfundidade: 8 cm\n\nCapacidade: 300ml\n\nMaterial: Cerâmica\n\nCor: Branca\n\n*Imagem Meramente Ilustrativa</h6>",,,taxable,,1,100,,0,0,0.5,11.5,10,8,1,,,58.10,"CASA E DECORAÇÃO > CANECAS, CASA E DECORAÇÃO",caneca,,http://techup.com.br/icone/wp-content/uploads/2021/09/CanecaAlcaPreta-Cordelpng.png,,,,,,,,,0,,,,,,,,
92,simple,CORDEL.CNC.VER.0002,"Caneca Alça Vermelha - Cordel 2",1,0,visible,,"<h6>Caneca Cerâmica</h6>\n\nAltura: 9,5 cm\n\nLargura: 8 cm\n\nProfundidade: 8 cm\n\nCapacidade: 300ml\n\nMaterial: Cerâmica\n\nCor: Branca\n\n*Imagem Meramente Ilustrativa",,,taxable,,1,100,,0,0,0.5,11.5,10,8,1,,,58.10,"CASA E DECORAÇÃO > CANECAS, CASA E DECORAÇÃO",caneca,,http://techup.com.br/icone/wp-content/uploads/2021/09/CanecaAlcaVermelha-Cordel-2png.png,,,,,,,,,0,,,,,,,,
94,simple,CORDEL.CNCH.BR.0001,"Caneca de Chopp - Codel",1,0,visible,,"<h6>Caneca de Chopp\n\n\n\nCapacidade: 500ml\n\nMaterial: Vidro Jateado Fosco\n\nCor: Translucida\n\n*Imagem Meramente Ilustrativa</h6>",,,taxable,,1,100,,0,0,0.7,14,13,10,1,,,69.10,"CASA E DECORAÇÃO > CANECAS, CASA E DECORAÇÃO","caneca, caneca de chopp",,http://techup.com.br/icone/wp-content/uploads/2021/09/CanecaChopp-Cordelpng.png,,,,,,,,,0,,,,,,,,
96,simple,CORDEL.CNCH.BR.0002,"Caneca de Chopp - Codel 2",1,0,visible,,"<h6>Caneca de Chopp</h6>\n\nCapacidade: 500ml\n\nMaterial: Vidro Jateado Fosco\n\nCor: Translucida\n\n*Imagem Meramente Ilustrativa",,,taxable,,1,100,,0,0,0.7,14,13,10,1,,,69.10,"CASA E DECORAÇÃO > CANECAS, CASA E DECORAÇÃO","caneca, caneca de chopp",,http://techup.com.br/icone/wp-content/uploads/2021/09/CanecaChopp-Cordel2png.png,,,,,,,,,0,,,,,,,,
99,variable,CORDEL.CC.NA.0003,"Capa de celular - Cordel 3",1,0,visible,,"<h6>Capa de Celular</h6>\n<h6>Nossas capinhas de celular são confeccionadas em silicone maleável (TPU), que absorve o impacto, protege o aparelho contra sujeiras e riscos indesejados. Além disso, nossa impressão de alta qualidade garante cores vivas e muito duradouras por mais tempo.</h6>",,,taxable,,1,,,0,0,0.1,17,8,1,1,,,,"PRESENTES > CAPAS DE CELULAR, PRESENTES","capa de celular, capinha",,http://techup.com.br/icone/wp-content/uploads/2021/09/CapaCelular-Cordel3png.png,,,,,,,,,0,"Modelo do celular","IPHONE 11, IPHONE 6, IPHONE 6 PLUS, IPHONE 7, IPHONE 7 PLUS, IPHONE 8, IPHONE 8 PLUS, IPHONE X, IPHONE XR, IPHONE XS, IPHONE XS MAX",1,1,,,,
102,variation,,"Capa de celular - Cordel 3 - IPHONE 11",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CC.NA.0003,,,,,,2,"Modelo do celular","IPHONE 11",,1,,,,
103,variation,,"Capa de celular - Cordel 3 - IPHONE 6",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CC.NA.0003,,,,,,3,"Modelo do celular","IPHONE 6",,1,,,,
104,variation,,"Capa de celular - Cordel 3 - IPHONE 6 PLUS",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CC.NA.0003,,,,,,4,"Modelo do celular","IPHONE 6 PLUS",,1,,,,
105,variation,,"Capa de celular - Cordel 3 - IPHONE 7",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CC.NA.0003,,,,,,5,"Modelo do celular","IPHONE 7",,1,,,,
106,variation,,"Capa de celular - Cordel 3 - IPHONE 7 PLUS",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CC.NA.0003,,,,,,6,"Modelo do celular","IPHONE 7 PLUS",,1,,,,
107,variation,,"Capa de celular - Cordel 3 - IPHONE 8",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CC.NA.0003,,,,,,7,"Modelo do celular","IPHONE 8",,1,,,,
108,variation,,"Capa de celular - Cordel 3 - IPHONE 8 PLUS",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CC.NA.0003,,,,,,8,"Modelo do celular","IPHONE 8 PLUS",,1,,,,
109,variation,,"Capa de celular - Cordel 3 - IPHONE X",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CC.NA.0003,,,,,,9,"Modelo do celular","IPHONE X",,1,,,,
110,variation,,"Capa de celular - Cordel 3 - IPHONE XR",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CC.NA.0003,,,,,,10,"Modelo do celular","IPHONE XR",,1,,,,
111,variation,,"Capa de celular - Cordel 3 - IPHONE XS",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CC.NA.0003,,,,,,11,"Modelo do celular","IPHONE XS",,1,,,,
112,variation,,"Capa de celular - Cordel 3 - IPHONE XS MAX",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CC.NA.0003,,,,,,12,"Modelo do celular","IPHONE XS MAX",,1,,,,
115,variable,CORDEL.CC.NA.0004,"Capa de celular - Cordel 4",1,0,visible,,"<h6>Capa de Celular</h6>\n<h6>Nossas capinhas de celular são confeccionadas em silicone maleável (TPU), que absorve o impacto, protege o aparelho contra sujeiras e riscos indesejados. Além disso, nossa impressão de alta qualidade garante cores vivas e muito duradouras por mais tempo.</h6>",,,taxable,,1,,,0,0,0.1,17,8,1,1,,,,"PRESENTES > CAPAS DE CELULAR, PRESENTES","capa de celular, capinha",,http://techup.com.br/icone/wp-content/uploads/2021/09/CapaCelular-Cordel4png.png,,,,,,,,,0,"Modelo do celular","IPHONE 11, IPHONE 6, IPHONE 6 PLUS, IPHONE 7, IPHONE 7 PLUS, IPHONE 8, IPHONE 8 PLUS, IPHONE X, IPHONE XR, IPHONE XS, IPHONE XS MAX",1,1,,,,
116,variation,,"Capa de celular - Cordel 4 - IPHONE 11",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CC.NA.0004,,,,,,2,"Modelo do celular","IPHONE 11",,1,,,,
117,variation,,"Capa de celular - Cordel 4 - IPHONE 6",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CC.NA.0004,,,,,,3,"Modelo do celular","IPHONE 6",,1,,,,
118,variation,,"Capa de celular - Cordel 4 - IPHONE 6 PLUS",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CC.NA.0004,,,,,,4,"Modelo do celular","IPHONE 6 PLUS",,1,,,,
119,variation,,"Capa de celular - Cordel 4 - IPHONE 7",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CC.NA.0004,,,,,,5,"Modelo do celular","IPHONE 7",,1,,,,
120,variation,,"Capa de celular - Cordel 4 - IPHONE 7 PLUS",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CC.NA.0004,,,,,,6,"Modelo do celular","IPHONE 7 PLUS",,1,,,,
121,variation,,"Capa de celular - Cordel 4 - IPHONE 8",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CC.NA.0004,,,,,,7,"Modelo do celular","IPHONE 8",,1,,,,
122,variation,,"Capa de celular - Cordel 4 - IPHONE 8 PLUS",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CC.NA.0004,,,,,,8,"Modelo do celular","IPHONE 8 PLUS",,1,,,,
123,variation,,"Capa de celular - Cordel 4 - IPHONE X",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CC.NA.0004,,,,,,9,"Modelo do celular","IPHONE X",,1,,,,
124,variation,,"Capa de celular - Cordel 4 - IPHONE XR",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CC.NA.0004,,,,,,10,"Modelo do celular","IPHONE XR",,1,,,,
125,variation,,"Capa de celular - Cordel 4 - IPHONE XS",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CC.NA.0004,,,,,,11,"Modelo do celular","IPHONE XS",,1,,,,
126,variation,,"Capa de celular - Cordel 4 - IPHONE XS MAX",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CC.NA.0004,,,,,,12,"Modelo do celular","IPHONE XS MAX",,1,,,,
129,variable,CORDEL.CH.BR.0001,"Chinelo - Cordel",1,0,visible,,"Chinelo em borracha e aplicação estampada, palmilhas com maciez e leveza\n\nConforto e praticidade são as características desse chinelo.\nChinelo em borracha e aplicação estampada, palmilhas com maciez e leveza.\n\n33/34 - 22 cm\n35/36 - 23.5 cm\n37/38 - 25 cm\n39/40 - 26.5 cm\n41/42 - 28 cm\n43/44 - 29.5 cm",,,taxable,,1,,,0,0,0.4,27,10,4.5,1,,,,"ACESSÓRIOS, ACESSÓRIOS > CHINELOS",chinelo,,http://techup.com.br/icone/wp-content/uploads/2021/09/CapaCelular-Cordelpng.png,,,,,,,,,0,Numeração,"33/34, 35/36, 37/38, 39/40, 41/42, 43/44",1,1,,,,
130,variation,,"Chinelo - Cordel - 33/34",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CH.BR.0001,,,,,,1,Numeração,33/34,,1,,,,
131,variation,,"Chinelo - Cordel - 35/36",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CH.BR.0001,,,,,,2,Numeração,35/36,,1,,,,
132,variation,,"Chinelo - Cordel - 37/38",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,,,,,,,,CORDEL.CH.BR.0001,,,,,,3,Numeração,37/38,,1,,,,
